timestamp,sample_id,uptime_ms,scenario_id,cpu_utilization,cpu_idle,task_cpu_utilization,total_heap,free_heap,used_heap,heap_utilization,minimum_free_heap,stack_high_water_mark,stack_utilization,task_name,task_priority,task_state,task_execution_time,task_period,task_jitter,task_execution_count,deadline_misses,context_switches,task_switches,scheduler_delay,active_task_count,inference_time,min_inference_time,max_inference_time,average_inference_time,inference_count,inference_frequency,queue_length,queue_capacity,queue_utilization,messages_sent,messages_received,dropped_messages,interrupt_count,interrupt_latency,power_consumption,system_temperature,watchdog_resets,system_resets,heap_churn_bytes,heap_alloc_failures,distance_cm,ultrasonic_timeouts,logged_at
0.0,1,5000.0,1,28.39,71.61,12.78,1048576,858259,190317,18.15,789598,3098,33.3,ai_inference_task,3,RUNNING,18.5,50.0,0.63,20,0,50,40,2.05,6,33.12,29.65,38.15,33.12,5,10.0,13,100,13.0,15,15,0,120,0.212,1443.7,44.5,0,0,,,,,2026-09-19T23:21:33
1.0,2,6000.0,1,22.27,77.73,10.02,1048576,847323,201253,19.19,779537,2962,37.8,ai_inference_task,3,RUNNING,18.5,50.0,0.51,40,0,100,80,3.01,6,34.72,32.28,39.49,34.72,10,10.0,13,100,13.0,30,30,0,240,0.479,1468.1,42.8,0,0,,,,,2026-09-19T23:21:33
2.0,3,7000.0,1,31.57,68.43,14.21,1048576,838656,209920,20.02,771563,3163,31.11,ai_inference_task,3,RUNNING,18.5,50.0,1.59,60,0,150,120,2.34,6,32.48,28.79,37.29,32.48,15,10.0,13,100,13.0,45,45,0,360,0.589,1475.7,44.8,0,0,,,,,2026-09-19T23:21:33
3.0,4,8000.0,1,30.29,69.71,13.63,1048576,820919,227657,21.71,755245,2886,40.34,ai_inference_task,3,RUNNING,18.5,50.0,0.93,80,0,200,160,1.2,6,34.89,31.48,38.03,34.89,20,10.0,7,100,7.0,60,60,0,480,0.293,1420.2,43.4,0,0,,,,,2026-09-19T23:21:34
4.0,5,9000.0,1,28.36,71.64,12.76,1048576,836880,211696,20.19,769929,3063,34.44,ai_inference_task,3,RUNNING,18.5,50.0,1.41,100,0,250,200,1.43,6,33.05,30.52,38.86,33.05,25,10.0,11,100,11.0,75,75,0,600,0.492,1432.7,43.9,0,0,,,,,2026-09-19T23:21:34
5.0,6,10000.0,1,31.9,68.1,14.36,1048576,819568,229008,21.84,754002,2996,36.68,ai_inference_task,3,RUNNING,18.5,50.0,0.55,120,0,300,240,1.79,6,35.42,31.73,40.75,35.42,30,10.0,7,100,7.0,90,90,0,720,0.307,1442.2,46.7,0,0,,,,,2026-09-19T23:21:34
6.0,7,11000.0,1,30.76,69.24,13.84,1048576,840035,208541,19.89,772832,2960,37.87,ai_inference_task,3,RUNNING,18.5,50.0,0.87,140,0,350,280,2.4,6,33.98,30.15,38.36,33.98,35,10.0,7,100,7.0,105,105,0,840,0.305,1516.9,46.5,0,0,,,,,2026-09-19T23:21:35
7.0,8,12000.0,1,25.99,74.01,11.7,1048576,846034,202542,19.32,778351,2837,41.97,ai_inference_task,3,RUNNING,18.5,50.0,1.44,160,0,400,320,2.98,6,34.55,32.37,37.69,34.55,40,10.0,6,100,6.0,120,120,0,960,0.369,1412.7,43.9,0,0,,,,,2026-09-19T23:21:35
8.0,9,13000.0,1,31.96,68.04,14.38,1048576,826544,222032,21.17,760420,2847,41.65,ai_inference_task,3,RUNNING,18.5,50.0,1.31,180,0,450,360,1.67,6,36.3,34.28,41.46,36.3,45,10.0,11,100,11.0,135,135,0,1080,0.456,1422.3,44.2,0,0,,,,,2026-09-19T23:21:35
9.0,10,14000.0,1,26.54,73.46,11.94,1048576,799824,248752,23.72,735838,2881,40.51,ai_inference_task,3,RUNNING,18.5,50.0,1.81,200,0,500,400,1.75,6,33.32,30.32,36.86,33.32,50,10.0,14,100,14.0,150,150,0,1200,0.456,1521.8,42.8,0,0,,,,,2026-09-19T23:21:35
