feature,importance_mean,importance_std
degradation_index__dev20,1.1807940707935285,0.010922183535640461
degradation_rate__rmean5,0.12357020478112854,0.0017694309472607243
degradation_index__diff5,0.10229958669427539,0.00389226482076966
degradation_index__dev5,0.041775769900616135,0.002864234733025549
degradation_rate__dev5,0.012148908979470185,0.0005628194831558097
degradation_index__diff1,0.010400491780143285,0.0008196670703094096
latency_mean__rmean20,0.007549576239109168,0.00015813707450428721
overall_health_score__rmean5,0.0019205759289408597,8.274286506555606e-06
degradation_index__diff10,0.0015381534905755778,0.0003937500244896701
task_delay_trend,0.0013553108357151622,0.00027157537360447264
deadline_trend,0.000981372708777606,0.0002444544434766781
overall_health_score,0.0009536315980372301,0.0001248349594048823
degradation_index__rstd5,0.0009182118574017295,0.0002393599661981251
overall_health_score__diff5,0.0007816393383484943,0.0008112888089815853
degradation_rate,0.0007452837495400821,0.00021693580540727722
degradation_rate__diff5,0.0005899358731876525,0.0002702717904884263
latency_mean__rstd20,0.0005595694458568445,0.00022954400957848352
cpu_health_score,0.0003483978942785626,0.0002423615510111027
overall_health_score__diff10,0.00032209766776318814,0.00016605044652282988
degradation_rate__rmean20,0.000254757090300739,0.0014707769727453893
memory_std,0.00021004254895151675,5.932291431018056e-05
overall_health_score__rstd5,0.00020000235516590693,8.219150402673956e-05
latency_mean__rstd5,0.00018658099583470644,0.00017410395362516172
degradation_rate__rstd5,0.00017870883186281715,7.754048018365212e-05
heap_growth_rate,0.0001660068111383417,0.0003156242953801524
latency_mean__diff10,0.0001261253538709539,0.00017060403296871593
ai_health_score,8.427496706113758e-05,1.510649205212494e-05
degradation_index__rstd20,7.837926506333303e-05,0.00011175633539814398
stack_trend,5.127953271131247e-05,5.964208614414323e-05
latency_max,3.7769294237754994e-05,5.479448876766849e-05
cpu_std,3.356177861393306e-05,2.952277123942232e-05
memory_health_score,3.208187630665549e-06,6.4163752613310984e-06
overall_health_score__rstd20,2.8266403641730163e-06,0.00015026278000074652
fault_count,0.0,0.0
memory_leak_flag,0.0,0.0
cpu_overload_flag,0.0,0.0
queue_overflow_flag,0.0,0.0
fault_severity,0.0,0.0
ai_latency_flag,0.0,0.0
task_starvation_flag,0.0,0.0
deadline_miss_flag,0.0,0.0
stack_risk_flag,0.0,0.0
heap_exhaustion_flag,0.0,0.0
degradation_rate__rstd20,-1.5345076748829456e-05,0.00016755814120342894
cpu_max,-1.5523308287335168e-05,1.3989140562546658e-05
cpu_mean,-2.4149308713639073e-05,6.043977920197822e-05
latency_mean__diff5,-2.4860186600950128e-05,3.082814520740784e-05
stack_growth_rate,-3.293736989089524e-05,2.111208867652013e-05
stack_health_score,-3.603790187582945e-05,2.6246335494038355e-05
queue_trend,-9.353323095435684e-05,9.262120307290389e-05
memory_growth_rate,-0.0001954594057528958,6.846115279303683e-05
latency_mean__rmean5,-0.0002039151838403086,2.3487240660794255e-05
cpu_min,-0.00020983875856472878,8.999150472870787e-05
memory_mean,-0.00024080271678492693,7.465341565858576e-05
timing_health_score,-0.0002827054545228691,0.0001483419692495171
cpu_trend,-0.00031816430014366406,0.00020711309805624165
queue_growth_rate,-0.0003820996255130105,0.0001229988380801973
memory_trend,-0.00038558344398094136,9.946408882857745e-05
overall_health_score__diff1,-0.00039419505648012886,4.3902794002484334e-05
overall_health_score__dev20,-0.00041656303901538294,7.906621340446996e-05
heap_trend,-0.0004333724524706817,0.00013479140837029577
cpu_growth_rate,-0.0004751046854883256,7.996638787346959e-05
task_health_score,-0.0004982629809297201,4.224737331779632e-05
degradation_rate__diff1,-0.0006114922201954087,0.00019500541361276429
latency_mean__dev5,-0.0006250920972615149,0.0001912400672948914
latency_mean,-0.0007424249606437172,9.448631551527194e-05
degradation_rate__diff10,-0.0008993329348673029,0.00024599764795674205
latency_mean__dev20,-0.0010307836597106324,0.0002642321671818564
health_change_rate,-0.001070149196196013,0.00016688234001063407
degradation_rate__dev20,-0.0015419702074291664,0.00018651430570522956
deadline_miss_rate,-0.0015587724109687785,0.00017550351074360713
overall_health_score__rmean20,-0.001954461107585104,0.00016906672021968106
overall_health_score__dev5,-0.006282160757758515,0.0006500910888603156
latency_mean__diff1,-0.008804399696396903,0.00012568147453183214
latency_trend,-0.008988914301901385,0.0002930461548385854
resource_health_score,-0.012676376438748083,0.00039472707776350656
latency_growth_rate,-0.015974240264595617,0.0001441315923553011
degradation_index__rmean5,-0.020935190158730244,0.00047415906077760895
degradation_index__rmean20,-0.03676283964712139,0.000810999843072474
degradation_index,-0.03925651910193802,0.0023165712537204755
