feature,importance_mean,importance_std
degradation_rate__dev20,0.21989479878515983,0.01861436063935605
degradation_rate,0.20694505461319873,0.017795206369991934
degradation_rate__dev5,0.1775098951507516,0.019820937393788866
degradation_rate__rmean5,0.12267206917966433,0.004338837312403427
latency_mean__diff1,0.09075334424491892,0.012482067888640026
degradation_index__diff5,0.08147349946899105,0.006135501220794375
deadline_trend,0.05381503696985792,0.0062883364165420945
degradation_index__diff1,0.0392857349023112,0.009341614370097619
health_change_rate,0.038588881137885875,0.007998674796615814
cpu_max,0.032945656941281244,0.007061471644001559
memory_trend,0.026116065064329598,0.005238080664124426
cpu_mean,0.021441460095248565,0.0041136413730609315
ai_health_score,0.016534057799644408,0.003976272573357225
cpu_health_score,0.014855355688583316,0.0032402034300402765
latency_max,0.01385536750710461,0.0034535936584739278
latency_growth_rate,0.012397836712854904,0.005576052876691772
deadline_miss_rate,0.010005931420088742,0.0018610329814417355
cpu_trend,0.009021325857306018,0.001785122165596085
latency_mean__diff10,0.006689513598613317,0.002281312236506977
degradation_index__diff10,0.005653285345375991,0.0016293722487300477
degradation_index__dev20,0.0055624985196773835,0.0019050982558536235
stack_growth_rate,0.005030140881516409,0.0005545838027966665
latency_mean__dev20,0.004334902515187445,0.002590385307261139
stack_health_score,0.0030177294328108673,0.001017075911085943
fault_severity,0.0028978605965221506,0.0010853357152521444
cpu_overload_flag,0.0028855079737347467,0.0027157633412280484
overall_health_score__rmean20,0.002658549647265218,0.0009291912332688678
overall_health_score,0.0023921761239050097,0.0007462897587815463
memory_std,0.002305981479208086,0.0009327474519227127
overall_health_score__rmean5,0.0022857389696437024,0.0008115788732509462
latency_mean__diff5,0.0021878589225552856,0.001315091716602395
overall_health_score__diff5,0.0016946957083346704,0.00037721124009096574
overall_health_score__diff10,0.001683566061167241,0.001701293360439716
cpu_min,0.0015604027881504835,0.0007740004173089313
cpu_growth_rate,0.0012186281028929713,0.0003494297381936764
degradation_rate__diff5,0.001049530727142134,0.00045006497685062146
degradation_index__rstd20,0.0009330271230984621,0.000725621197670508
cpu_std,0.0009161947376707502,0.0005124332444883936
queue_trend,0.0008535759913183228,0.00031912864996763745
deadline_miss_flag,0.0006534454098584775,0.0005835544712855432
stack_risk_flag,0.0006430320676553691,0.00019517507002550415
latency_trend,0.0004734956490290543,0.001253424711192003
overall_health_score__rstd20,0.0003712158219105532,0.0003811786011702465
degradation_rate__rstd5,0.00034858956818961673,0.00031688488113706525
overall_health_score__rstd5,0.0003259632956908121,0.0009436722115013042
degradation_index__rstd5,0.0002890730740205072,0.0013381701156528216
degradation_rate__diff10,0.00024199681890539891,0.0013260508506143798
latency_mean__dev5,0.00019897834629567512,0.0006574882462513742
latency_mean__rstd20,0.0001346407480937728,0.00011763436515496993
degradation_rate__rmean20,0.00011436033733502882,4.029756421366361e-05
task_starvation_flag,0.0,0.0
queue_overflow_flag,-4.716968653539766e-06,0.0005781901869358072
latency_mean__rstd5,-2.642114861668432e-05,0.000397979392684711
resource_health_score,-4.503244045377386e-05,0.002655416061574487
degradation_rate__rstd20,-0.0002820166237880173,0.00010342559949388014
queue_growth_rate,-0.0003081800029832493,0.00032446489269035144
overall_health_score__dev5,-0.00037696224792789225,8.32004365033673e-05
degradation_index__dev5,-0.00045876917132154916,0.0022564584200364126
fault_count,-0.0005417669961861549,0.0005410990677550462
memory_health_score,-0.0005661617398009966,0.0003092955297230754
memory_growth_rate,-0.0006598414293856436,0.00024127585246072015
degradation_index__rmean20,-0.0007663080896236352,0.000486862967516025
memory_leak_flag,-0.0008087231497242442,0.0002719801658220692
heap_exhaustion_flag,-0.0008675759168957243,0.0003535645307264895
heap_growth_rate,-0.0008951708622575438,0.00033322973099132757
memory_mean,-0.000986535197916183,0.0005859238252849061
latency_mean__rmean20,-0.001043260307582905,0.0016927678012271144
overall_health_score__dev20,-0.0010927949513138912,0.0004331674761581099
task_delay_trend,-0.0011297342777183417,0.0005640898445445909
degradation_index__rmean5,-0.0011660088040107651,0.0010008477090274388
latency_mean,-0.0011714606535690563,0.0015755914091116954
latency_mean__rmean5,-0.0012274008433577066,0.0013844676903800965
task_health_score,-0.0012723878763493345,0.0024744627748823898
heap_trend,-0.001404866463426835,0.000967090237121029
degradation_index,-0.0014451847386279582,0.0016154113131028388
timing_health_score,-0.0014855742485735846,0.0009358027155964654
overall_health_score__diff1,-0.0016777403729040686,0.00036481259056197405
stack_trend,-0.002183401985734257,0.0005390827449909438
degradation_rate__diff1,-0.0025360867324721427,0.0010165789308607856
ai_latency_flag,-0.002818850423044772,0.003106804293828449
