feature,importance_mean,importance_std
overall_health_score__dev20,1.0512105617124443,0.010055812948967093
overall_health_score__dev5,0.0640515569574192,0.0028875192886933954
health_change_rate,0.0032161076629910745,0.00019582956402116884
overall_health_score__diff10,0.002047198029474284,8.966503865942953e-05
degradation_index__diff10,0.001124361616886027,0.000162911497754529
degradation_rate__dev20,0.0010460044744213803,8.548259108511093e-05
latency_mean__diff5,0.0005709996123744787,0.0001342267663323362
degradation_rate__rstd5,0.0005148719636549615,0.00038409432417258426
degradation_rate__diff10,0.00047384505586238744,0.00014152182269767464
latency_mean,0.00047343571395845884,8.694079426997725e-05
latency_mean__rmean20,0.00046302448011896756,0.00017611201617494338
degradation_rate__rmean20,0.000407435759778263,0.000148239955365191
degradation_index__diff1,0.0003141146027034303,5.533646472617962e-05
cpu_max,0.0003055949304676453,9.643180651263653e-05
latency_mean__rstd20,0.0002802491795870665,0.00031802354307849967
latency_mean__diff1,0.00026718668095000454,8.543370960700887e-05
degradation_index__dev20,0.0002634218429886204,6.139344841481133e-05
stack_trend,0.00025350587428381034,0.00018768425379331425
degradation_index__dev5,0.0002439100773673708,0.00017083835046524694
latency_mean__diff10,0.00021676178344227638,9.832198316700898e-05
overall_health_score__diff1,0.0001855950710192289,3.300971872651771e-05
cpu_min,0.0001315574530515562,0.00011586185265796684
deadline_trend,8.567747006500425e-05,0.0003053642824902243
cpu_health_score,4.0628198775838344e-05,9.516506891669715e-05
fault_count,7.907508460469614e-06,7.588654773615674e-05
queue_trend,4.05397603531199e-06,0.0001658207282937604
cpu_trend,3.2198493019386375e-06,7.304308263451155e-05
memory_leak_flag,0.0,0.0
heap_exhaustion_flag,0.0,0.0
task_starvation_flag,0.0,0.0
fault_severity,0.0,0.0
stack_risk_flag,0.0,0.0
deadline_miss_flag,0.0,0.0
queue_overflow_flag,0.0,0.0
ai_latency_flag,0.0,0.0
cpu_overload_flag,0.0,0.0
degradation_rate__rmean5,-1.142593063905295e-05,0.00011343274474277223
heap_growth_rate,-3.0321666006827287e-05,1.6445252660231027e-05
latency_mean__dev5,-3.929338755233047e-05,8.424277560882242e-05
memory_trend,-3.9864732680428e-05,8.049541830878936e-05
degradation_index__diff5,-4.081091877443655e-05,1.7745684756413048e-05
memory_mean,-4.317858299556221e-05,2.8173995057548775e-05
queue_growth_rate,-6.12356659894786e-05,2.6561082328036917e-05
stack_growth_rate,-6.582702772650606e-05,6.911974748125507e-05
latency_mean__dev20,-7.083900466717808e-05,3.3304953211683e-05
memory_health_score,-7.125830735557059e-05,4.238885585908247e-05
cpu_mean,-8.323822043720952e-05,2.8925590408206684e-05
degradation_rate__diff1,-8.700023456125195e-05,0.00014186281993658123
memory_std,-8.926690467525589e-05,5.51166799506059e-05
ai_health_score,-0.0001164907496153944,7.426781152001509e-05
heap_trend,-0.0001243503014032754,0.00010707000268250841
latency_mean__rstd5,-0.00017077834010050807,0.00010529854256080681
degradation_rate__rstd20,-0.00017638127839507688,0.0003674144519893062
overall_health_score__rstd5,-0.00017880230702136402,0.0002827475059454165
cpu_growth_rate,-0.00022901009791560513,0.00012263849140014256
degradation_index__rstd5,-0.0002467196048252518,0.00012264389053512166
overall_health_score,-0.00026943201887092983,0.0001381275932694259
timing_health_score,-0.00028830570625215657,7.87543840778809e-05
degradation_rate__dev5,-0.00041145226725092243,0.00010411938476877704
latency_mean__rmean5,-0.00045444625023707277,0.00013082502016806464
degradation_index__rstd20,-0.00045594013911918194,0.0007708392691189496
stack_health_score,-0.0004728519694793043,8.678865522075185e-05
degradation_rate__diff5,-0.0005304378346437488,4.243299018672043e-05
cpu_std,-0.0006084636005283528,6.76425962743401e-05
degradation_rate,-0.0006671593175281209,0.00015953652872353452
memory_growth_rate,-0.0008181446416275051,0.00021848032333276235
task_delay_trend,-0.0008621408161623379,0.00015112650862335732
resource_health_score,-0.0010152658504037682,9.771735362481067e-05
latency_growth_rate,-0.0011190084867758188,0.00012196786980162562
latency_trend,-0.0011541285155734827,0.00014557829367035826
overall_health_score__diff5,-0.001442570959473599,0.00035675282290922996
task_health_score,-0.001959271208426383,0.00014296337508404414
overall_health_score__rstd20,-0.002144646565445818,0.0003938233743957509
deadline_miss_rate,-0.0023553665354254074,0.00034780139268933847
overall_health_score__rmean5,-0.0023924368462057365,0.0002973624174200938
latency_max,-0.0036655381071930117,0.00023515845179428592
degradation_index__rmean5,-0.0039023035837743693,0.000371711116288859
degradation_index,-0.008313172391891754,0.00020012659026557512
degradation_index__rmean20,-0.008423626105888805,0.000285957005229905
overall_health_score__rmean20,-0.014390682270764898,0.0023081795202855534
