feature,importance_mean,importance_std
latency_mean__dev20,4.141866057203482,0.05394701544711001
health_change_rate,0.7372157665478515,0.011719112930771207
latency_mean__diff1,0.45069991829557454,0.015165412965063407
latency_mean,0.42502826441386893,0.003284160804947218
ai_health_score,0.38916147947747215,0.009995878165265117
latency_mean__rmean5,0.3846185856601407,0.002031270403178387
latency_trend,0.32882560293619356,0.01637840432851145
timing_health_score,0.30229757304681454,0.0012806025016733112
overall_health_score__diff1,0.22716508665854587,0.008154587975519295
deadline_miss_rate,0.09678407516549896,0.0013547763711283481
latency_mean__rmean20,0.07787325505563185,0.0009325306347510459
resource_health_score,0.0672435663686839,0.001782650126588877
cpu_mean,0.06406007276870121,0.001586095777267854
overall_health_score__dev20,0.055723897382592466,0.005813714596836875
latency_mean__dev5,0.053184459794031545,0.005233176340418775
cpu_health_score,0.04252364778746713,0.0011242151487027541
deadline_trend,0.041813616308891355,0.005929337311468941
memory_mean,0.028895868658379342,0.00038012435167924613
memory_health_score,0.02110501132397289,0.00038384026618731355
stack_health_score,0.017500501871415962,0.0011212802458349866
overall_health_score__dev5,0.01529341756448357,0.001332287662431047
deadline_miss_flag,0.009133597093289758,0.00024947832783692777
latency_max,0.008693501446419028,0.00028441866029935674
cpu_trend,0.008348208540213342,0.002702350972277954
stack_trend,0.008066916997420747,0.0026411054077259922
cpu_overload_flag,0.0050742842654383224,0.0007480034691168118
degradation_rate__dev5,0.0033443013597905134,0.0013622270815257646
latency_mean__rstd5,0.0030130348092109573,0.0003331903695596634
degradation_rate__dev20,0.0030067754571931004,0.001352706139131806
degradation_rate,0.0029407214552030327,0.0013332031285106288
memory_trend,0.0029143465496149546,0.001104477428409212
degradation_index__rstd20,0.0025782198656695956,0.00133692870090684
memory_growth_rate,0.001949431634821508,0.0010801972638518414
degradation_index__diff1,0.0018894690817164773,0.0021226863258589357
degradation_rate__diff5,0.0014751860637666424,0.0022647398696480823
latency_growth_rate,0.0010688327803780595,0.0003642226187170641
latency_mean__diff5,0.0007636444372948858,0.0001462607861660475
task_delay_trend,0.0006470900804869117,0.0006315373915392615
heap_growth_rate,0.0005975899335396662,0.000571345952440138
queue_overflow_flag,0.0005638007664984457,0.0002952013222309695
overall_health_score__diff5,0.000448705740069677,0.0001814154468010237
degradation_index__dev20,0.0003997118772895547,0.00016554228467681648
cpu_growth_rate,0.0003598995665461402,0.0003050384279800601
overall_health_score__diff10,0.0002491544386103328,0.000513333131010822
heap_exhaustion_flag,0.0002389360010532471,0.00047576388151165385
stack_growth_rate,0.00022349585514458425,0.0001933571472881354
memory_leak_flag,0.00021831356538548619,4.803862151830991e-05
degradation_index__dev5,8.498463199515526e-05,6.421108473763333e-05
queue_growth_rate,6.487921439202182e-05,5.152046537101367e-05
degradation_rate__rstd5,4.4427593928908496e-05,9.236741017260727e-06
task_starvation_flag,0.0,0.0
stack_risk_flag,-6.669016757410162e-05,0.0003199160056971053
degradation_index__diff5,-9.632156435053218e-05,0.0003809550237530099
heap_trend,-0.000106478634554108,0.00022704517245273546
degradation_index__rstd5,-0.00011049004742211821,2.867373474654218e-05
degradation_rate__rmean20,-0.0001451248409473749,0.00046186054417112404
degradation_rate__diff10,-0.00016717350001087538,0.00018677126384649472
overall_health_score__rstd20,-0.00020215545058448469,0.0006742507342208036
degradation_rate__rmean5,-0.000253052544320731,0.00022232816698223272
degradation_index__diff10,-0.0002840198699786356,0.00018910473504106948
degradation_rate__rstd20,-0.000291020425022559,0.00043922658506380765
queue_trend,-0.0002919223476128607,0.0004664488345661641
degradation_rate__diff1,-0.0005430285486646369,0.0006974058859719513
latency_mean__rstd20,-0.0009851010196952003,0.000402122223338651
latency_mean__diff10,-0.0010777982464125202,0.0006698181582093317
overall_health_score__rstd5,-0.001394666863770233,0.00044341924428578286
memory_std,-0.005333646761253874,0.00033249906993683686
cpu_std,-0.006444083498657704,0.00026772420445668216
cpu_min,-0.015581124494387488,0.0007474347907985155
task_health_score,-0.01868802273841954,0.0007069356576469809
cpu_max,-0.018766054017586953,0.000899646128817391
fault_count,-0.02197224655390393,0.001470096612096971
overall_health_score__rmean5,-0.021984777342907692,0.0017218203235664915
fault_severity,-0.023808324825812834,0.0009294686305598001
degradation_index,-0.024802737357972227,0.0008836831967029099
degradation_index__rmean5,-0.02561814352706726,0.0010709593796862434
overall_health_score,-0.02588983269621803,0.0012023919375899943
degradation_index__rmean20,-0.026732974303106616,0.0011546884784806848
overall_health_score__rmean20,-0.028152652757103703,0.001244177276216977
ai_latency_flag,-0.05720896508845961,0.008865427698330833
