target,model,split,MAE,RMSE,R2,MAPE_percent,baseline_MAE,baseline_RMSE,baseline_R2,beats_baseline,skill_vs_persistence,train_rows,validation_rows,test_rows,horizon,target_mode
latency,ridge,validation,5.4465492744534885,6.784604104780246,0.3687830386530515,12.631727659945573,,,,,,,,,,
latency,gradient_boosting,validation,5.4528436007479355,6.785368054113669,0.36864088004854545,12.741721272932494,,,,,,,,,,
latency,linear_regression,validation,5.447321561237425,6.785779887074166,0.36856423796100424,12.633852658025837,,,,,,,,,,
latency,extra_trees,validation,5.475697504263386,6.808884352696144,0.3642570477338938,12.76354444554764,,,,,,,,,,
latency,hist_gradient_boosting,validation,5.495636417727702,6.838166763656877,0.35877711423352276,12.929334975666466,,,,,,,,,,
latency,random_forest,validation,5.542179393903889,6.8959352333455755,0.3478973177869822,13.029146708332606,,,,,,,,,,
latency,ridge,test,5.782185633284681,7.251307211633835,0.8925944164010192,7.000046498579721,7.622673052294557,9.550735876090382,0.8136763775582367,True,0.24075931889321855,34979.0,7496.0,7496.0,10.0,delta
health,hist_gradient_boosting,validation,1.8401961321066602,2.305198089134489,0.5962486828455796,2.317283968583557,,,,,,,,,,
health,gradient_boosting,validation,1.8433601109926017,2.308471566560409,0.5951011812556131,2.321904702261259,,,,,,,,,,
health,extra_trees,validation,1.8422933242896211,2.3092833682629585,0.5948163561354805,2.3207728426039615,,,,,,,,,,
health,random_forest,validation,1.860339453562783,2.3284479407747303,0.5880632718471666,2.34376410277345,,,,,,,,,,
health,ridge,validation,2.039542138633088,2.560029087721294,0.5020482647379025,2.585307644982294,,,,,,,,,,
health,linear_regression,validation,2.0406001813535464,2.561263625616187,0.5015678885461852,2.586393941380522,,,,,,,,,,
health,hist_gradient_boosting,test,2.2967085310210096,2.909096340806062,0.9591790652055366,4.93189680974925,2.793390101387407,3.5095530324448285,0.9405885220258252,True,0.17109206958484846,34979.0,7496.0,7496.0,10.0,delta
degradation_rate,hist_gradient_boosting,validation,3.2733668757946783,4.094184406780741,-0.005516898842155005,127.67015625379412,,,,,,,,,,
degradation_rate,gradient_boosting,validation,3.27267266125739,4.09505203815937,-0.005943118263182168,122.00596788170483,,,,,,,,,,
degradation_rate,ridge,validation,3.274638117111465,4.09751301534104,-0.007152551945919683,142.79462317939254,,,,,,,,,,
degradation_rate,linear_regression,validation,3.2748121052963373,4.097725522303985,-0.007257021402984343,142.9491589529872,,,,,,,,,,
degradation_rate,random_forest,validation,3.2877710253405303,4.111061221398099,-0.013823754045619419,151.01074777891063,,,,,,,,,,
degradation_rate,extra_trees,validation,3.295134255158307,4.123760665377817,-0.020097016981050375,173.4962270098057,,,,,,,,,,
degradation_rate,hist_gradient_boosting,test,3.3511232586369752,4.198682426909697,-0.010044552377836302,127.35278353633683,4.700811552828175,5.931033472736421,-1.0154648383921554,True,0.2920824935131353,34979.0,7496.0,7496.0,10.0,delta
degradation_index,gradient_boosting,validation,2.419150646305351,3.04591659930011,0.6439157475335168,11.687362206803455,,,,,,,,,,
degradation_index,hist_gradient_boosting,validation,2.4219002786671653,3.048670421141485,0.6432715829031984,11.72344352920124,,,,,,,,,,
degradation_index,extra_trees,validation,2.4256787638740662,3.0509965947443867,0.6427269987460885,11.689009018710097,,,,,,,,,,
degradation_index,random_forest,validation,2.434458554602596,3.0670241630951716,0.6389634691448653,11.711989529025649,,,,,,,,,,
degradation_index,linear_regression,validation,2.605581165045402,3.2862766023796928,0.5854995733615234,12.140666228604749,,,,,,,,,,
degradation_index,ridge,validation,2.60649579418487,3.28727403317034,0.5852479218543525,12.143888062300315,,,,,,,,,,
degradation_index,gradient_boosting,test,3.013249893386796,3.8406159184712343,0.9600049671935845,6.545782709828176,3.4248983991462114,4.3290265104171946,0.9491858350698226,True,0.11282226864877565,34979.0,7496.0,7496.0,10.0,delta
